10001, Tran Van Huy       , 26/03/2006, 399356496, 10001@sv1.dut.udn.vn, 24T_KHDL, 2024, CNTT    , 3.45,        2
10002, Nguyen Thai An     , 26/04/2005, 387123456, 10002@sv1.dut.udn.vn, 24T_CNTT, 2024, CNTT    , 3.8 , 26042006
10003, Mai Van Hao        , 29/08/2006, 378123789, 10003@sv1.dut.udn.vn, 23T_KHDL, 2023, Toan    , 3.1 , 29082006
10004, Nguyen Thi My Lan  , 17/08/2006, 369456123, 10004@sv1.dut.udn.vn, 24T_Tin , 2024, CNTT    , 3.75, 17082006
10005, Huynh Thi Kim Hoang, 04/08/2006, 391234567, 10005@sv1.dut.udn.vn, 23T_DTVT, 2023, Dien tu , 3.2 , 04082006
10006, Nguyen Thi Yen Nhi , 01/05/2006, 389991234, 10006@sv1.dut.udn.vn, 24T_KHDL, 2024, CNTT    , 3.9 , 01052005
10007, Pham Le Ha Phuong  , 10/02/2006, 377345678, 10007@sv1.dut.udn.vn, 22T_CNTT, 2022, CNTT    , 2.95, 10022006
10008, Luong Trong Tan    , 30/01/2006, 368123456, 10008@sv1.dut.udn.vn, 24T_Tin , 2024, Toan tin, 3.6 , 30102006
10009, Vo Thi Le          , 30/04/2004, 398765123, 10009@sv1.dut.udn.vn, 23T_DTVT, 2023, Dien tu , 3.51, 30042004
10010, Pham Quoc Huy      , 31/12/2005, 387654321, 10010@sv1.dut.udn.vn, 24T_KHDL, 2024, CNTT    , 3.4 , 31122005
10011, Mai Van Tien       , 12/12/2001, 905103036, 10011@sv1.dut.udn.vn, 24TKHDL , 2024, CNTT    , 3.4 , 12122001
10012, Nguyen Van Tu      , 07/02/2006, 366456789, 10012@sv1.dut.udn.vn, 24T_DT1 , 2024, CNTT    , 0   , 07022006
